ID,Component
DIHYDROXYNAPHTHOATE[c],0
DEOXYCYTIDINE-KINASE-RXN-DEOXYCYTIDINE/TTP//DCMP/TDP/PROTON.35.,0
EX_FUM,0
CPD-883[c],0
RXN-9524,0
L-ASPARTATE[p],0
RXN-13198,0
NADH-DEHYDROG-A-RXN,0
LCYSDESULF-RXN,0
CPD-21241[c],0
CPD-30[c],0
ALLANTOATE[c],0
RIBOPHOSPHAT-RXN,0
RXN-19804,0
Reduced-NrdH-Proteins[c],0
POLYMER-INST-3-KETOACYL-COA-C16-H32[c],0
RXN-9556,0
THYMIDINE[e],0
POLYMER-INST-CIS-DELTA3-ENOYL-COA-C6-H12[c],0
RXN-16418,0
L-GLUTAMATE_GAMMA-SEMIALDEHYDE[c],0
CPD2DNV-1[c],0
APS[c],0
AMINO-OXOBUT[c],0
RXN0-748,0
XYLISOM-RXN-XYLOSE//D-XYLULOSE.19.,0
THYM-PHOSPH-RXN,0
3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN,0
DCMP[c],0
S-ADENMETSYN-RXN,0
RXN-11181,0
ADENOSYLHOMOCYSTEINASE-RXN,0
DUDPKIN-RXN,0
MENADIOL[c],0
T2-DECENOYL-COA[c],0
ACETYL-GLU[c],0
RXN-17791,0
AMMONIUM[p],0
EX_CARNITINE,0
SELENITE[c],0
UDP-NACMUR-ALA-LIG-RXN,0
RXN-14793,0
EX_glyc,0
ETHANAMINE[c],0
DUDP[c],0
CPD0-181[c],0
CPD-12024[c],0
RXN-10654,0
Hex-2-enoyl-ACPs[c],0
RXN-17784,0
L-PANTOATE[c],0
CPD-497[c],0
CPD-12308[c],0
CPD-7221[c],0
RXN-9229,0
RXN-15124,0
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN,0
EX_GLT,0
EX_CPD-12693,0
RXN-11369,0
2.1.1.130-RXN,0
CPD-18748[c],0
ABC-32-RXN,0
DOPAMINE[c],0
NONAPRENYL-4-HYDROXYBENZOATE[c],0
DEOXY-RIBOSE-5P[c],0
GLYCEROL-3Ptex,0
DGTP[c],0
CPD-9385[c],0
RXN-16380,0
LINOLEIC_ACID[c],0
CPD-195[c],0
BETA-UREIDOPROPIONASE-RXN,0
CPD-10260[c],0
CPD-14928[c],0
RXN-16402,0
RXN-10024,0
RXN-1126,0
CPD0-2232[c],0
RXN-14118,0
ETHAMLY-RXN,0
RXN-15308,0
RXN0-5101,0
CDPREDUCT-RXN,0
CHLORAMPHENICOL[c],0
CPD-9152[c],0
RXN-18894,0
RXN-13908,0
CPD-901[c],0
N-ACETYL-D-GLUCOSAMINE[p],0
CPD-18271[c],0
ALLANTOATE-DEIMINASE-RXN,0
CREATININE[c],0
ADENPRIBOSYLTRAN-RXN,0
RXN-19322,0
CPD-14268[c],0
CPD-24318[c],0
CPD-20750[c],0
RXN-14271,0
TRANS-RXN0-623-DODECANOATE/ATP/CO-A/PROTON//LAUROYLCOA-CPD/AMP/PPI/PROTON.59.,0
DCTP-DEAM-RXN,0
CPD-19395[c],0
2-METHYLMALEATE[c],0
DCTP-PYROPHOSPHATASE-RXN,0
PHOSPHASERSYN-RXN,0
L-DIHYDROXY-PHENYLALANINE[c],0
Cytochromes-C-Oxidized[p],0
5-HYDROXY-CTP[c],0
1.5.1.28-RXN,0
CYTIDINE[c],0
RXN-16691,0
METHYLACYLYLCOA-HYDROXY-RXN,0
CPD-15668[c],0
CYTIDEAM-RXN,0
ANTHRANILOYL-COA-MONOOXYGENASE-RXN-2-AMINOBENZOYL-COA/NADPH/OXYGEN-MOLECULE/PROTON//2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA/NADP/WATER.100.,0
OH-MYRISTOYL[c],0
RXN-14196,0
BETAINE_ALDEHYDE[c],0
LIPID-IV-A[c],0
CROTONOBETAINYL-COA[c],0
AGMATIN-RXN,0
RXN0-300,0
NADH[c],0
TRANS-RXN1G48-9-VAL/PROTON//VAL/PROTON.23.,0
EX_ni2,0
RXN0-5390,0
RXN66-546-4-HYDROXY-L-PROLINE/NAD//PYRROLINE-HYDROXY-CARBOXYLATE/NADH/PROTON.67.,0
POLYMER-INST-D-3-HYDROXYACYL-COA-C16-H32[c],0
THREOSPON-RXN,0
RXN2B4Q-53,0
RXN-11564,0
TRIMETHYLAMINE-N-O[c],0
1.13.11.25-RXN,0
Beta-3-hydroxybutyryl-ACPs[c],0
SUCCSEMIALDDEHYDROG-RXN,0
RXN-16130,0
TRANS-RXN1G48-9-GLT/PROTON//GLT/PROTON.23.,0
RXN-11743,0
3-Hydroxy-octanoyl-ACPs[c],0
PHOSPHOGLUCMUT-RXN,0
RXN-14229,0
CPD-20827[c],0
CPD-17086[c],0
RXN-14188,0
D-PROLINE[c],0
MALONYL-COA-ACP-TRANSACYL-RXN,0
RXN-12752,0
CPD-11518[c],0
SARCOSINE-DEHYDROGENASE-RXN,0
HS[c],0
1.8.4.8-RXN,0
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE[c],0
Hpr-Histidine[c],0
CPD-19153[c],0
CPD-19171[c],0
CPD-21488[c],0
CPD-19014[c],0
CPD-24844[c],0
1.2.7.8-RXN,0
RXN-12134,0
ADENINE-DEAMINASE-RXN,0
RXN-20678,0
RXN-18511,0
RIBULOSE-5P[c],0
2PGADEHYDRAT-RXN,0
RXN-19300,0
2TRANSKETO-RXN,0
PHE[c],0
RXN0-6554,0
PHOSPHO-ENOL-PYRUVATE[c],0
CPD-8990[c],0
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET[c],0
FUMtex,0
GLYOHMETRANS-RXN,0
RXNQT-4191,0
TRANS-23-DEHYDROADIPYL-COA[c],0
AICARTRANSFORM-RXN,0
K+[p],0
Tetradec-2-enoyl-ACPs[c],0
CPD-24234[c],0
CPD-9861[c],0
CPD-12115[c],0
TRYPTOPHAN-AMINOTRANSFERASE-RXN,0
RXN-16688,0
R341-RXN,0
DIHYDROXY-ACETONE-PHOSPHATE[c],0
OLEOYL-COA[c],0
DIHYDROSIROHYDROCHLORIN[c],0
RXN-14117,0
CPD-15124[c],0
CPD-2183[c],0
RXN-11319,0
RXN-8751,0
R321-RXN,0
CPD-12150[c],0
CU+2[e],0
METHYLASPARTATE-AMMONIA-LYASE-RXN,0
CPD-9674[c],0
RXN-8315,0
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,0
RXN2B4Q-51,0
AIRS-RXN,0
CPD-14553[c],0
CPD-9016[c],0
RXN-16032-PALMITYL-COA/CPD0-2113//CPD-17273/CO-A.39.,0
CPD-21415[c],0
CPD-3633[c],0
RXN-14129,0
RXN-9230,0
CPD-12261[c],0
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE[c],0
RXN-17781,0
KETOACYLCOATHIOL-RXN-CPD-10267/ACETYL-COA//POLYMER-INST-3-KETOACYL-COA-C8-H16/CO-A.62.,0
RXN1RHL-12,0
CPD-24319[c],0
CPD-10269[c],0
CPD-783[c],0
ITP[c],0
EX_CIT,0
RXN-9548,0
MALONATE-S-ALD[c],0
CINNAMOYL-COA[c],0
RXN0-1401,0
DM_CPD-471,0
CPD-678[c],0
CPD0-1942[c],0
P-HYDROXY-PHENYLPYRUVATE[c],0
RXN-16456,0
GDPPYPHOSKIN-RXN,0
RXN0-5227,0
LIPID[c],0
3-HYDROXY-L-KYNURENINE[c],0
RXN-19802,0
RXN-17787,0
ACRYLAMIDE[c],0
CPD-22363[c],0
2.5.1.19-RXN,0
CARNITINE[e],0
RXN-8762,0
RXN-22610,0
CH3-MALONATE-S-ALD[c],0
CPD2B4Q-15[c],0
RXN0-2044,0
RXN-17752,0
SINAPOYL-COA[c],0
CITLY-RXN,0
CA+2[p],0
CPD-15159[c],0
L-1-GLYCEROPHOSPHORYLETHANOL-AMINE[c],0
CPD-11994[c],0
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,0
GLUTAMATE--METHYLAMINE-LIGASE-RXN,0
